gnd_id,bbg,name,count
969619588,Tb1,Books on Demand GmbH,82899
106492235X,Tb6,epubli GmbH,58036
940431181,Tbz,Europäische Union,26311
1043386068,Tb1,Springer Fachmedien Wiesbaden,24056
1008731927,Tb1,Tredition GmbH,23297
1064344704,Tb1,Springer International Publishing,15710
973837799,Tb1,Walter de Gruyter GmbH & Co. KG,15164
004691792,Tbz,Katholische Kirche,13394
1065168780,Tb6,Springer-Verlag GmbH,12100
007778449,Tb1,American Guild for German Cultural Freedom,11869
