created_at,created_at
2007-06,13742
2007-07,14775
2007-08,14050
2007-09,13137
2007-10,16354
2007-11,16875
2007-12,11120
2008-01,15264
2008-02,15005
2008-03,14443
2008-04,16013
2008-05,13734
2008-06,17890
2008-07,19660
2008-08,17815
2008-09,17987
2008-10,18746
2008-11,20206
2008-12,16374
2009-01,18425
2009-02,21331
2009-03,23855
2009-04,21374
2009-05,17261
2009-06,20512
2009-07,21416
2009-08,19400
2009-09,20241
2009-10,22542
2009-11,23123
2009-12,16435
2010-01,18517
2010-02,19474
2010-03,23179
2010-04,18204
2010-05,18013
2010-06,22434
2010-07,19096
2010-08,19059
2010-09,17551
2010-10,17752
2010-11,18549
2010-12,15088
2011-01,17595
2011-02,18769
2011-03,66554
2011-04,17820
2011-05,24525
2011-06,30585
2011-07,17590
2011-08,141213
2011-09,459367
2011-10,31339
2011-11,18929
2011-12,15957
2012-01,21062
2012-02,22487
2012-03,23801
2012-04,5925
2012-05,17698
2012-06,20201
2012-07,21553
2012-08,21196
2012-09,18823
2012-10,20260
2012-11,21444
2012-12,15331
2013-01,21995
2013-02,19431
2013-03,20919
2013-04,24494
2013-05,37466
2013-06,22979
2013-07,42215
2013-08,22535
2013-09,33917
2013-10,23109
2013-11,23496
2013-12,17324
2014-01,23866
2014-02,25878
2014-03,25435
2014-04,29586
2014-05,37561
2014-06,40946
2014-07,47322
2014-08,225909
2014-09,21508
2014-10,24109
2014-11,151209
2014-12,27622
2015-01,55340
2015-02,31054
2015-03,40673
2015-04,32575
2015-05,19991
2015-06,42842
2015-07,46115
2015-08,22654
2015-09,19789
2015-10,22357
2015-11,25138
2015-12,20315
2016-01,23212
2016-02,27563
2016-03,366439
2016-04,29602
2016-05,24586
2016-06,27922
2016-07,25188
2016-08,27122
2016-09,25481
2016-10,43352
2016-11,29145
2016-12,22834
2017-01,29601
2017-02,25666
2017-03,31193
2017-04,22136
2017-05,31395
2017-06,29915
2017-07,26098
2017-08,26692
2017-09,25328
2017-10,25666
2017-11,201472
2017-12,23051
2018-01,28946
2018-02,29191
2018-03,27865
2018-04,26771
2018-05,221754
2018-06,26913
2018-07,28692
2018-08,28119
2018-09,24077
2018-10,29064
2018-11,28750
2018-12,20909
2019-01,28671
2019-02,28590
2019-03,25695
2019-04,27080
2019-05,28843
2019-06,24117
2019-07,31347
2019-08,29107
2019-09,29537
2019-10,31959
2019-11,31144
2019-12,23674
2020-01,31687
2020-02,31806
2020-03,29648
2020-04,30904
2020-05,28928
2020-06,29711
2020-07,34518
2020-08,27672
2020-09,28702
2020-10,29824
2020-11,29902
2020-12,21456
2021-01,28519
2021-02,30199
2021-03,33560
2021-04,28002
2021-05,25372
2021-06,27306
2021-07,28743
2021-08,27952
2021-09,23314
2021-10,46727
2021-11,27561
2021-12,23782
2022-01,9739
