sachbegriff,count
Bildnis,2230
Brustbild,1437
Bildnis / Brustbild,1436
Verleger,964
Buchdrucker,670
Buchhändler,576
Bildnis / Halbfigurenbild,563
Halbfigurenbild,563
Schriftsteller,332
Leipzig,234
Kupferstecher,145
Maler,128
Politiker,108
Kniestück,105
Humanist,91
Bibliothekar,87
Bildnis / Kniestück,82
Gelehrter,78
Doppelbildnis,77
Grafiker,71
Bildnis / Ganzfigurenbildnis,65
Denkmal,62
Theologe,57
Philologe,56
Kunsthändler,56
Geßner,52
Historiker,51
Salomon [1730-1788] / Bildnis / Brustbild,47
Druckermarke,47
Kaufmann,46
Manuzio,39
Coster,39
Zeichner,38
Pädagoge,37
Musikverleger,36
Lipsius,36
Gruppenbildnis,35
Antiquar,34
Endter,34
Franklin,31
Roth-Scholtz,31
Bürgermeister,29
Kunstsammler,27
Bildnis / Hüftbild,26
Publizist,26
Astronom,25
Laurens Janszoon [1370-1439] / Bildnis / Brustbild,25
Jubiläum,24
Naturwissenschaftler,23
Bildnis / Gruppenbildnis,23
Bibliograf,23
Bildnis / Kopfbild,23
Benjamin [1706-1790] / Bildnis / Brustbild,22
Schriftgießer,22
Arzt,21
Justus [1547-1606] / Bildnis / Brustbild,21
Weltkrieg,21
Jurist,20
Mädchen,20
Mathematiker,20
Campe,19
Gutenberg,19
Paolo [1512-1574] / Bildnis / Brustbild,19
Topografie,18
Merian,18
Literatur,18
Kilian,17
Aldo Pio [1450-1515] / Bildnis / Brustbild,17
Herero-Nama-Aufstand,17
Täufer,17
Drucker,16
Lithograf,16
Geograf,16
Buchbinder,16
Korrektor,16
Francke,16
Philosophie,15
Kartograf,15
Komponist,15
Richardson,15
Ansichtspostkarte,15
Cranach,14
Feyerabend,14
Friedrich [1687-1736] / Bildnis / Brustbild,14
Selbstbildnis,14
Titelblatt,14
Justus [1547-1606] / Bildnis / Halbfigurenbild,14
Journalist,14
Gleditsch,14
Joachim Heinrich [1746-1818] / Bildnis / Brustbild,14
Anthroposophie,14
Thurneysser zum Thurn,13
Froben,13
Breitkopf,13
Karikatur,13
Cotta,13
Alchemist,13
Deutschland / Nürnberg,13
Felsecker,13
Johann [1460-1527] / Bildnis / Brustbild,12
