gnd_id,bbg,name,count
040118827,Tgz,Deutschland,263778
969619588,Tb1,Books on Demand GmbH,76880
106492235X,Tb6,epubli GmbH,53444
041132920,Tsz,Deutsch,52912
041336976,Tsz,Topografie,41557
040432718,Tgz,Österreich,38832
118584596,Tpz,Mozart,32296
040538818,Tgz,Schweiz,31462
040359646,Tsz,Literatur,30194
11850553X,Tpz,Bach,30192
